VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
35.682687,5.6695918,11.343526,17.153398,7.726253416,0.961809125,0.330522955
35.682795,5.6965144,11.342016,17.235842,7.778359812,0.961733392,0.330503981
35.676756,5.750338,11.336516,17.401596,7.879934264,0.961590039,0.330448885
35.677403,5.777304,11.335007,17.484258,7.935016242,0.96150278,0.330428892
35.674275,5.8306302,11.330801,17.64828,8.034356506,0.961373937,0.330379516
35.670932,5.8574014,11.326702,17.731374,8.100977688,0.961228019,0.330341089
35.669314,5.9112258,11.323575,17.89583,8.204595993,0.96108788,0.330313028
35.665001,5.9376078,11.321418,17.977192,8.237483026,0.96110079,0.330285609
35.665432,5.9913882,11.317859,18.142296,8.353500368,0.960907491,0.330244209
35.666726,6.0182676,11.316457,18.22474,8.412414938,0.960809036,0.330225155
35.666187,6.0713344,11.312143,18.388548,8.527463512,0.960619699,0.330169321
35.666618,6.0983652,11.310418,18.470774,8.595887289,0.960480144,0.330162948
35.665324,6.1511076,11.306859,18.633066,8.699795513,0.960343941,0.330117845
35.664893,6.1779654,11.304918,18.715294,8.761610933,0.960235313,0.330102503
35.660255,6.2315512,11.29931,18.880616,8.880771663,0.960035895,0.330050206
35.657991,6.2581712,11.297368,18.961978,8.933368852,0.959967662,0.33003789
35.65303,6.3117572,11.292084,19.127082,9.048652185,0.959789714,0.329990597
35.653245,6.3384636,11.290574,19.209094,9.105098374,0.9597096,0.329972023
35.65249,6.3917468,11.286476,19.372468,9.234793727,0.95947549,0.329939727
35.649036,6.4453108,11.281299,19.53779,9.357465951,0.959274484,0.32988945
35.64936,6.4718226,11.279143,19.618502,9.43644422,0.959099366,0.329883627
35.644507,6.525409,11.274397,19.78404,9.541865554,0.958976478,0.329831976
35.645046,6.55231,11.271701,19.866052,9.633193162,0.958754492,0.329824466
35.642026,6.6049226,11.26825,20.027694,9.735760122,0.958643884,0.329789471
35.642781,6.6319534,11.266632,20.110138,9.807738323,0.958508817,0.329781596
35.635232,6.6851716,11.26027,20.274162,9.935102782,0.95829576,0.329738492
35.641811,6.7122028,11.260162,20.356822,10.01395007,0.958141796,0.32972744
35.637497,6.7658102,11.25423,20.52236,10.15318112,0.95789098,0.32967993
35.634801,6.7923002,11.252505,20.60264,10.21095635,0.957813334,0.32968106
35.634477,6.8461456,11.248946,20.767962,10.34113485,0.957611145,0.329649371
35.637605,6.8728952,11.247328,20.850838,10.41731028,0.957468826,0.329622013
35.63534,6.9262434,11.242152,21.01465,10.56914895,0.957178551,0.329591185
35.63232,6.953058,11.239671,21.096878,10.63161979,0.957087928,0.32957758
35.631242,7.0059302,11.236544,21.259604,10.74551862,0.956954217,0.329541896
35.633399,7.0329176,11.234279,21.341614,10.84911299,0.956708618,0.329540099
35.627791,7.0867414,11.228671,21.506936,10.99063291,0.956470145,0.329509578
35.62984,7.1132964,11.227053,21.588514,11.07022174,0.956321115,0.32949449
35.623801,7.1667098,11.223063,21.75362,11.163196,0.956275135,0.329449066
35.62682,7.1940432,11.220043,21.836064,11.29930513,0.955913905,0.329456957
35.623477,7.2470236,11.214867,21.999438,11.44340729,0.955673915,0.329418579
35.621752,7.2737516,11.212171,22.081882,11.51793862,0.955547006,0.329399079
35.617546,7.327294,11.208935,22.246122,11.6248956,0.955456796,0.329373992
35.617438,7.3809884,11.204406,22.410794,11.79226196,0.955144065,0.329349705
35.61582,7.4078678,11.201602,22.492804,11.88184788,0.954965244,0.3293439
35.613879,7.4614968,11.196533,22.658558,12.03555181,0.954708076,0.329301485
35.616144,7.4885708,11.193945,22.741436,12.14763216,0.954454466,0.329291906
35.611614,7.541897,11.188876,22.905026,12.2976291,0.954212268,0.329268214
35.610859,7.5687768,11.186288,22.987686,12.38376738,0.954054325,0.329253532
35.609134,7.6226004,11.182297,23.152358,12.53765567,0.953809595,0.32923646
35.606653,7.6489608,11.178415,23.233288,12.64255794,0.953580403,0.329224206
35.606545,7.7026764,11.17518,23.398392,12.78445155,0.953386618,0.329196827
35.603526,7.7295126,11.171621,23.481054,12.87646685,0.953210156,0.32918082
35.602986,7.7829262,11.167091,23.644644,13.05352133,0.952891601,0.329162334
35.602663,7.8098272,11.164826,23.727088,13.14183688,0.952735816,0.329152368
35.599859,7.8628074,11.159865,23.889596,13.31016852,0.952449221,0.329131033
35.599643,7.8897084,11.157493,23.972256,13.4005239,0.952289367,0.329118311
35.59382,7.9435536,11.150914,24.137794,13.58295196,0.951959808,0.329091946
35.59231,7.9699362,11.148218,24.21894,13.67041706,0.951808467,0.329078655
35.589074,8.0237382,11.143042,24.383612,13.84979993,0.951499071,0.329062741
35.591447,8.0507256,11.140453,24.466056,13.97402654,0.951231332,0.329056943
35.586055,8.1038572,11.135492,24.629646,14.12108204,0.951033806,0.32902857
35.587241,8.1308664,11.132796,24.71209,14.24044541,0.950785573,0.329023826
35.581849,8.184258,11.126757,24.875898,14.42296013,0.95047248,0.32900352
35.584437,8.2112238,11.124061,24.958126,14.55605993,0.950183198,0.329000014
