VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
74.99614,2.5869982,11.991246,15.33962,10.07372222,0.948077579,0.168648128
74.99215,2.6145912,11.991354,15.505374,10.14338692,0.948267509,0.168624839
74.991395,2.6281714,11.990815,15.5876,10.18221169,0.948337311,0.168606546
74.992365,2.6555264,11.990707,15.750974,10.27889086,0.948384685,0.168594425
74.992042,2.669323,11.991139,15.834068,10.3094722,0.948498471,0.168580999
74.993013,2.6962672,11.990815,15.996144,10.39439776,0.948593788,0.168557322
74.989885,2.7101502,11.990923,16.078588,10.43674117,0.94864664,0.16855648
74.989238,2.7375922,11.990923,16.243476,10.51568306,0.948776436,0.168534875
74.991395,2.7514104,11.990815,16.325272,10.57878774,0.948729318,0.16853688
74.984277,2.7787222,11.991139,16.490592,10.61949429,0.949033067,0.168503484
74.982875,2.806272,11.991139,16.653534,10.72750156,0.94901919,0.168509098
74.983738,2.819701,11.990923,16.73641,10.74671742,0.949171688,0.168477051
74.983091,2.847294,11.990923,16.901522,10.83405622,0.949254746,0.168463763
74.983414,2.8607228,11.989629,16.9831,10.88569378,0.949252445,0.168445266
74.978561,2.8883374,11.988442,17.147556,10.99090139,0.94924857,0.168440179
74.97964,2.9020042,11.988335,17.23,11.03221814,0.949298425,0.168427406
74.976189,2.9294026,11.988011,17.39662,11.08457107,0.949531957,0.168389181
74.975542,2.9434372,11.988658,17.478414,11.14307158,0.949507075,0.168404136
74.973708,2.9706624,11.988335,17.64287,11.21293942,0.949654903,0.168377503
74.972306,2.984805,11.98855,17.725098,11.27949018,0.949595114,0.168394273
74.968424,3.0123114,11.988227,17.88977,11.36161452,0.949689133,0.168381785
74.969287,3.0259134,11.988011,17.971566,11.40723923,0.949714743,0.168372272
74.967992,3.0533118,11.987148,18.136454,11.4962963,0.949776044,0.168352193
74.96713,3.0671514,11.987364,18.219114,11.53638646,0.949827736,0.168348
74.9626,3.0949824,11.987472,18.382704,11.64577817,0.949804396,0.168363827
74.964326,3.1088004,11.987472,18.464932,11.70127132,0.949790538,0.168362407
74.966483,3.135615,11.98704,18.627224,11.78074942,0.949883233,0.168335067
74.96109,3.1498878,11.986609,18.710102,11.84834584,0.949820452,0.168352252
74.956345,3.177697,11.987472,18.87499,11.92513851,0.94993404,0.168354897
74.957639,3.1911692,11.986717,18.956136,11.98067124,0.949914107,0.16834492
74.954727,3.2189568,11.987688,19.12124,12.05656888,0.950029976,0.168344563
74.959041,3.232537,11.98704,19.203902,12.10993209,0.95002254,0.168327093
74.958826,3.260303,11.987903,19.366842,12.22066197,0.949994935,0.168344586
74.950953,3.288134,11.987472,19.532164,12.30750784,0.950060585,0.168344583
74.957747,3.301671,11.987472,19.613526,12.36922575,0.950020467,0.168336433
74.954404,3.3293504,11.987148,19.77863,12.46010989,0.950069581,0.168330688
74.953433,3.3433848,11.987472,19.861074,12.51410014,0.950063082,0.16833857
74.950629,3.3707402,11.98704,20.0225,12.62858979,0.95001332,0.168347619
74.948257,3.3847746,11.987364,20.104946,12.67765071,0.950025611,0.168355319
74.947286,3.412454,11.987688,20.2694,12.77092275,0.950065632,0.168354959
74.948257,3.4264884,11.987364,20.351846,12.84434714,0.94998489,0.168362536
74.946423,3.4540814,11.987472,20.517382,12.91950344,0.950092899,0.168349032
74.94006,3.4680942,11.987148,20.59788,12.98935139,0.950021578,0.168371415
74.942864,3.4958602,11.986933,20.763634,13.09748594,0.950007645,0.168364565
74.942649,3.5100242,11.986825,20.846294,13.16963353,0.949934963,0.168376413
74.938227,3.537574,11.986717,21.00989,13.25991781,0.949981359,0.168376607
74.94157,3.5516516,11.987148,21.092334,13.32941767,0.949920725,0.168385898
74.940276,3.5789638,11.986717,21.254842,13.43275903,0.949916735,0.168383458
74.935207,3.5932362,11.98704,21.33772,13.4837953,0.94992275,0.16839832
74.934237,3.6211102,11.985854,21.50304,13.61283193,0.949832039,0.168399919
74.934992,3.6348634,11.986393,21.58462,13.65672172,0.949861227,0.16840062
74.931325,3.663062,11.986501,21.749292,13.78017891,0.949794977,0.168422126
74.931325,3.6766638,11.985746,21.83152,13.8302366,0.94979901,0.168410802
74.927982,3.704819,11.98607,21.995542,13.95450525,0.949730634,0.168434995
74.92809,3.7186588,11.985315,22.077986,14.02038447,0.949681356,0.168432882
74.92658,3.7469222,11.986393,22.24201,14.142593,0.949624606,0.168461492
74.922805,3.7749262,11.985854,22.406898,14.26225155,0.949572714,0.168471611
74.925933,3.788766,11.985423,22.489126,14.33513946,0.949502256,0.16847102
74.921619,3.816878,11.985638,22.654664,14.43607757,0.949518323,0.168480892
74.922482,3.8310854,11.985854,22.737324,14.50818111,0.949454909,0.16849324
74.922482,3.859154,11.985854,22.90113,14.64779549,0.949339671,0.168513693
74.919138,3.8732318,11.985962,22.984008,14.69374123,0.949363215,0.168518554
74.913746,3.9015384,11.985423,23.148896,14.82954616,0.949262337,0.168541014
74.912128,3.9153996,11.986286,23.22961,14.87416688,0.949288737,0.168552102
74.916011,3.9435766,11.985207,23.394714,15.04653795,0.949070237,0.168566993
74.91504,3.9580866,11.985854,23.477158,15.12642784,0.948986858,0.16859309
74.914717,3.9858316,11.985531,23.640966,15.24791546,0.948934877,0.168598508
74.911913,4.000039,11.985746,23.72341,15.30780705,0.948914474,0.168611469
74.907599,4.0276752,11.986178,23.885702,15.40520296,0.94893926,0.168622852
74.908785,4.0419908,11.984991,23.967928,15.52521844,0.94872453,0.168641645
74.906628,4.0704054,11.985638,24.133682,15.64276705,0.948695476,0.16866077
